x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	y
-0.306	0.274	-0.336	0.331	-0.117	0.294	0.337	-0.134	0.464	0.240	4.458
-0.208	-0.394	0.240	-0.262	0.170	-0.109	-0.290	0.167	-0.379	-0.292	-1.860
-0.406	0.150	-0.397	-0.106	0.060	0.291	0.109	-0.067	-0.181	-0.326	1.785
-0.280	-0.042	0.185	-0.182	-0.282	-0.268	0.258	0.379	-0.313	-0.232	2.526
-0.018	-0.136	0.040	-0.193	-0.421	-0.301	-0.341	0.268	0.251	0.059	-2.109
-0.466	0.386	0.237	0.214	0.086	0.029	0.301	0.286	0.231	-0.275	3.728
0.066	-0.470	-0.001	-0.034	0.388	0.331	0.273	0.056	-0.201	-0.213	3.269
0.329	-0.398	0.429	-0.126	-0.071	0.481	0.172	-0.327	0.148	0.462	2.219
-0.117	0.366	0.499	0.057	0.382	-0.491	-0.360	0.356	-0.213	0.226	-1.769
-0.173	0.281	0.287	0.494	-0.197	0.251	-0.263	-0.295	-0.057	0.112	-0.108
-0.495	-0.256	-0.155	-0.043	0.070	0.183	0.282	-0.266	-0.289	0.239	2.978
-0.046	-0.045	-0.421	-0.359	0.272	0.368	0.331	0.389	0.343	-0.044	2.863
-0.183	-0.500	0.165	0.427	0.400	-0.483	0.279	-0.487	-0.281	-0.366	3.988
-0.350	-0.419	-0.371	-0.224	0.444	-0.495	0.316	0.260	0.145	0.156	3.247
-0.135	-0.471	0.437	0.424	0.317	0.361	-0.085	0.448	-0.440	-0.303	0.981
-0.403	0.129	0.030	-0.120	0.407	-0.052	0.202	0.277	-0.372	-0.033	2.465
-0.226	-0.055	-0.220	0.202	0.169	-0.144	-0.421	0.113	-0.149	-0.361	-2.071
-0.051	-0.246	-0.088	-0.227	-0.234	-0.143	0.194	-0.110	0.405	-0.287	2.095
0.270	-0.116	0.324	-0.002	-0.088	0.272	0.254	-0.355	0.152	0.155	2.861
-0.122	-0.498	0.049	-0.455	-0.460	0.418	0.483	0.313	0.353	0.411	3.856
-0.089	-0.045	-0.388	-0.069	0.445	0.455	-0.480	0.180	0.492	0.149	-2.909
0.391	0.322	-0.118	0.128	0.457	0.024	-0.176	0.488	-0.225	0.346	-0.186
-0.267	-0.311	-0.403	-0.294	0.296	0.338	-0.101	0.064	-0.089	-0.256	-0.234
-0.161	0.379	-0.358	-0.149	0.094	0.124	0.213	0.023	-0.050	-0.107	2.452
0.306	-0.222	0.000	0.224	0.419	-0.173	-0.315	-0.057	0.330	-0.428	-1.117
0.133	-0.001	-0.215	0.015	-0.147	-0.103	-0.264	0.445	-0.090	-0.095	-0.973
-0.330	-0.125	0.079	0.141	-0.125	-0.337	0.398	0.385	-0.078	-0.405	4.467
0.407	0.201	0.123	0.304	0.016	0.458	0.191	0.338	0.294	-0.470	3.158
-0.087	0.170	-0.497	0.354	0.133	-0.336	0.086	-0.096	0.241	-0.124	2.257
-0.474	-0.062	-0.424	0.411	0.478	0.423	-0.457	0.083	0.230	-0.315	-1.824
0.289	-0.333	-0.045	0.410	-0.263	0.234	-0.449	0.237	-0.198	0.460	-1.855
0.407	0.364	0.357	-0.358	0.046	-0.197	-0.477	-0.443	0.250	-0.015	-3.352
-0.366	0.334	0.068	-0.209	-0.361	-0.048	0.034	0.226	0.223	-0.055	0.856
-0.091	-0.224	0.290	0.377	0.069	0.020	0.482	-0.276	-0.029	-0.278	5.700
-0.360	-0.089	0.303	-0.381	0.012	0.134	0.043	0.201	0.365	0.379	0.561
0.417	0.039	-0.274	0.277	-0.464	0.192	0.066	0.012	0.394	0.041	1.956
-0.007	-0.240	0.231	0.473	0.400	-0.031	0.440	-0.134	-0.191	0.250	5.513
-0.354	0.221	-0.125	-0.452	-0.401	-0.365	-0.484	-0.048	0.230	-0.436	-3.782
0.468	-0.372	0.470	-0.204	0.256	0.370	0.419	0.303	-0.084	0.076	4.067
-0.124	-0.406	0.305	0.155	0.086	0.472	0.278	0.450	0.499	-0.448	3.557
0.345	-0.276	0.003	-0.279	-0.411	0.235	0.299	0.365	-0.069	-0.038	2.848
0.070	-0.329	0.128	-0.338	0.089	-0.139	-0.144	-0.316	-0.269	0.155	-0.922
0.275	-0.412	0.273	0.045	-0.130	0.356	-0.178	-0.197	0.453	-0.336	-0.444
-0.215	0.352	0.245	0.080	-0.042	-0.335	0.265	0.201	-0.172	0.292	3.275
-0.363	-0.052	-0.099	0.074	-0.405	0.476	0.412	0.348	-0.206	-0.367	4.427
-0.108	0.116	-0.198	-0.059	-0.333	0.165	-0.249	-0.479	0.215	0.477	-1.010
-0.391	-0.070	-0.206	-0.131	0.170	-0.032	-0.364	0.307	-0.105	-0.262	-2.299
-0.166	0.276	-0.167	0.032	0.169	0.429	-0.388	-0.138	-0.003	0.275	-1.998
-0.253	0.169	-0.215	-0.189	-0.425	0.251	-0.108	0.065	0.053	-0.284	-0.248
0.084	-0.179	0.461	-0.289	0.024	-0.470	-0.066	-0.363	0.035	0.432	-0.015
